methd,query_idx,size,tau,payload_size,correct
WNG+COS,18,6,0.0,7770,1
COS,18,9,0.0,7849,1
WNG,18,9,0.0,7849,1
CNT,18,9,0.0,7849,1
WNG+COS,18,9,0.0,7849,1
COS,19,3,0.0,7205,1
WNG,19,3,0.0,7205,1
CNT,19,3,0.0,7205,1
WNG+COS,19,3,0.0,7205,1
COS,19,6,0.0,7707,1
WNG,19,6,0.0,7707,1
CNT,19,6,0.0,7707,1
WNG+COS,19,6,0.0,7707,1
COS,19,9,0.0,7749,1
WNG,19,9,0.0,7749,1
CNT,19,9,0.0,7749,1
WNG+COS,19,9,0.0,7749,1
COS,20,3,0.0,6563,1
WNG,20,3,0.0,6563,1
CNT,20,3,0.0,6563,1
WNG+COS,20,3,0.0,6563,1
COS,20,6,0.0,7740,1
WNG,20,6,0.0,7740,1
CNT,20,6,0.0,7740,1
WNG+COS,20,6,0.0,7740,1
COS,20,9,0.0,7833,1
WNG,20,9,0.0,7833,1
CNT,20,9,0.0,7833,1
WNG+COS,20,9,0.0,7833,1
COS,21,3,0.0,3628,1
WNG,21,3,0.0,3628,1
CNT,21,3,0.0,3628,1
WNG+COS,21,3,0.0,3628,1
COS,21,6,0.0,6661,1
WNG,21,6,0.0,6661,1
CNT,21,6,0.0,6661,1
WNG+COS,21,6,0.0,6661,1
COS,21,9,0.0,7027,1
WNG,21,9,0.0,7027,1
CNT,21,9,0.0,7027,1
WNG+COS,21,9,0.0,7027,1
COS,22,3,0.0,5470,1
WNG,22,3,0.0,5470,1
CNT,22,3,0.0,5470,1
WNG+COS,22,3,0.0,5470,1
COS,22,6,0.0,6996,1
WNG,22,6,0.0,6996,1
CNT,22,6,0.0,6996,1
WNG+COS,22,6,0.0,6996,1
COS,22,9,0.0,7664,1
WNG,22,9,0.0,7664,1
CNT,22,9,0.0,7664,1
WNG+COS,22,9,0.0,7664,1
COS,23,3,0.0,2968,1
WNG,23,3,0.0,2968,1
CNT,23,3,0.0,2968,1
WNG+COS,23,3,0.0,2968,1
COS,23,6,0.0,7584,1
WNG,23,6,0.0,7584,1
CNT,23,6,0.0,7584,1
WNG+COS,23,6,0.0,7584,1
COS,23,9,0.0,7328,1
WNG,23,9,0.0,7328,1
CNT,23,9,0.0,7328,1
WNG+COS,23,9,0.0,7328,1
COS,24,3,0.0,6079,1
WNG,24,3,0.0,6079,1
CNT,24,3,0.0,6079,1
WNG+COS,24,3,0.0,6079,1
COS,24,6,0.0,7621,1
WNG,24,6,0.0,7621,1
CNT,24,6,0.0,7621,1
WNG+COS,24,6,0.0,7621,1
COS,24,9,0.0,7840,1
WNG,24,9,0.0,7840,1
CNT,24,9,0.0,7840,1
WNG+COS,24,9,0.0,7840,1
COS,25,3,0.0,6891,1
WNG,25,3,0.0,6891,1
CNT,25,3,0.0,6891,1
WNG+COS,25,3,0.0,6891,1
COS,25,6,0.0,7342,1
WNG,25,6,0.0,7342,1
CNT,25,6,0.0,7342,1
WNG+COS,25,6,0.0,7342,1
COS,25,9,0.0,7859,1
WNG,25,9,0.0,7859,1
CNT,25,9,0.0,7859,1
WNG+COS,25,9,0.0,7859,1
COS,26,3,0.0,1462,1
WNG,26,3,0.0,1462,1
CNT,26,3,0.0,1462,1
WNG+COS,26,3,0.0,1462,1
COS,26,6,0.0,7729,1
WNG,26,6,0.0,7729,1
CNT,26,6,0.0,7729,1
WNG+COS,26,6,0.0,7729,1
COS,26,9,0.0,7878,1
WNG,26,9,0.0,7878,1
CNT,26,9,0.0,7878,1
WNG+COS,26,9,0.0,7878,1
COS,27,3,0.0,6038,1
WNG,27,3,0.0,6038,1
CNT,27,3,0.0,6038,1
WNG+COS,27,3,0.0,6038,1
COS,27,6,0.0,590,1
WNG,27,6,0.0,590,1
CNT,27,6,0.0,590,1
WNG+COS,27,6,0.0,590,1
COS,27,9,0.0,7742,1
WNG,27,9,0.0,7742,1
CNT,27,9,0.0,7742,1
WNG+COS,27,9,0.0,7742,1
COS,28,3,0.0,5881,1
WNG,28,3,0.0,5881,1
CNT,28,3,0.0,5881,1
WNG+COS,28,3,0.0,5881,1
COS,28,6,0.0,7813,1
WNG,28,6,0.0,7813,1
CNT,28,6,0.0,7813,1
WNG+COS,28,6,0.0,7813,1
COS,28,9,0.0,7874,1
WNG,28,9,0.0,7874,1
CNT,28,9,0.0,7874,1
WNG+COS,28,9,0.0,7874,1
COS,29,3,0.0,6444,1
WNG,29,3,0.0,6444,1
CNT,29,3,0.0,6444,1
WNG+COS,29,3,0.0,6444,1
COS,29,6,0.0,7485,1
WNG,29,6,0.0,7485,1
CNT,29,6,0.0,7485,1
WNG+COS,29,6,0.0,7485,1
COS,29,9,0.0,7855,1
WNG,29,9,0.0,7855,1
CNT,29,9,0.0,7855,1
WNG+COS,29,9,0.0,7855,1
COS,30,3,0.0,3904,1
WNG,30,3,0.0,3904,1
CNT,30,3,0.0,3904,1
WNG+COS,30,3,0.0,3904,1
COS,30,6,0.0,6957,1
WNG,30,6,0.0,6957,1
CNT,30,6,0.0,6957,1
WNG+COS,30,6,0.0,6957,1
COS,30,9,0.0,7813,1
WNG,30,9,0.0,7813,1
CNT,30,9,0.0,7813,1
WNG+COS,30,9,0.0,7813,1
COS,31,3,0.0,3066,1
WNG,31,3,0.0,3066,1
CNT,31,3,0.0,3066,1
WNG+COS,31,3,0.0,3066,1
COS,31,6,0.0,5108,1
WNG,31,6,0.0,5108,1
CNT,31,6,0.0,5108,1
WNG+COS,31,6,0.0,5108,1
COS,31,9,0.0,5588,1
WNG,31,9,0.0,5588,1
CNT,31,9,0.0,5588,1
WNG+COS,31,9,0.0,5588,1
COS,32,3,0.0,7561,1
WNG,32,3,0.0,7561,1
CNT,32,3,0.0,7561,1
WNG+COS,32,3,0.0,7561,1
COS,32,6,0.0,7661,1
WNG,32,6,0.0,7661,1
CNT,32,6,0.0,7661,1
WNG+COS,32,6,0.0,7661,1
COS,32,9,0.0,7853,1
WNG,32,9,0.0,7853,1
CNT,32,9,0.0,7853,1
WNG+COS,32,9,0.0,7853,1
COS,33,3,0.0,5068,1
WNG,33,3,0.0,5068,1
CNT,33,3,0.0,5068,1
WNG+COS,33,3,0.0,5068,1
COS,33,6,0.0,7458,1
WNG,33,6,0.0,7458,1
CNT,33,6,0.0,7458,1
WNG+COS,33,6,0.0,7458,1
