methd,query_idx,size,tau,payload_size,correct
COS,28,6,0.0,928,1
WNG,28,6,0.0,928,1
CNT,28,6,0.0,928,1
WNG+COS,28,6,0.0,928,1
COS,28,9,0.0,955,1
WNG,28,9,0.0,955,1
CNT,28,9,0.0,955,1
WNG+COS,28,9,0.0,955,1
COS,29,3,0.0,896,1
WNG,29,3,0.0,896,1
CNT,29,3,0.0,896,1
WNG+COS,29,3,0.0,896,1
COS,29,6,0.0,940,1
WNG,29,6,0.0,940,1
CNT,29,6,0.0,940,1
WNG+COS,29,6,0.0,940,1
COS,29,9,0.0,617,1
WNG,29,9,0.0,617,1
CNT,29,9,0.0,617,1
WNG+COS,29,9,0.0,617,1
COS,30,3,0.0,411,1
WNG,30,3,0.0,411,1
CNT,30,3,0.0,411,1
WNG+COS,30,3,0.0,411,1
COS,30,6,0.0,747,1
WNG,30,6,0.0,747,1
CNT,30,6,0.0,747,1
WNG+COS,30,6,0.0,747,1
COS,30,9,0.0,911,1
WNG,30,9,0.0,911,1
CNT,30,9,0.0,911,1
WNG+COS,30,9,0.0,911,1
COS,31,3,0.0,154,1
WNG,31,3,0.0,154,1
CNT,31,3,0.0,154,1
WNG+COS,31,3,0.0,154,1
COS,31,6,0.0,606,1
WNG,31,6,0.0,606,1
CNT,31,6,0.0,606,1
WNG+COS,31,6,0.0,606,1
COS,31,9,0.0,814,1
WNG,31,9,0.0,814,1
CNT,31,9,0.0,814,1
WNG+COS,31,9,0.0,814,1
COS,32,3,0.0,378,1
WNG,32,3,0.0,378,1
CNT,32,3,0.0,378,0
WNG+COS,32,3,0.0,378,1
COS,32,6,0.0,804,1
WNG,32,6,0.0,804,0
CNT,32,6,0.0,804,1
WNG+COS,32,6,0.0,804,0
COS,32,9,0.0,914,0
WNG,32,9,0.0,914,0
CNT,32,9,0.0,914,0
WNG+COS,32,9,0.0,914,0
COS,33,3,0.0,848,1
WNG,33,3,0.0,848,1
CNT,33,3,0.0,848,1
WNG+COS,33,3,0.0,848,1
COS,33,6,0.0,635,1
WNG,33,6,0.0,635,1
CNT,33,6,0.0,635,1
WNG+COS,33,6,0.0,635,1
COS,33,9,0.0,932,1
WNG,33,9,0.0,932,1
CNT,33,9,0.0,932,1
WNG+COS,33,9,0.0,932,1
COS,34,3,0.0,20,1
WNG,34,3,0.0,20,1
CNT,34,3,0.0,20,1
WNG+COS,34,3,0.0,20,1
COS,34,6,0.0,841,1
WNG,34,6,0.0,841,1
CNT,34,6,0.0,841,1
WNG+COS,34,6,0.0,841,1
COS,34,9,0.0,906,1
WNG,34,9,0.0,906,1
CNT,34,9,0.0,906,1
WNG+COS,34,9,0.0,906,1
COS,35,3,0.0,43,1
WNG,35,3,0.0,43,1
CNT,35,3,0.0,43,1
WNG+COS,35,3,0.0,43,1
COS,35,6,0.0,894,1
WNG,35,6,0.0,894,1
CNT,35,6,0.0,894,1
WNG+COS,35,6,0.0,894,1
COS,35,9,0.0,198,1
WNG,35,9,0.0,198,1
CNT,35,9,0.0,198,1
WNG+COS,35,9,0.0,198,1
COS,36,3,0.0,859,1
WNG,36,3,0.0,859,1
CNT,36,3,0.0,859,1
WNG+COS,36,3,0.0,859,1
COS,36,6,0.0,926,1
WNG,36,6,0.0,926,1
CNT,36,6,0.0,926,1
WNG+COS,36,6,0.0,926,1
COS,36,9,0.0,952,1
WNG,36,9,0.0,952,1
CNT,36,9,0.0,952,1
WNG+COS,36,9,0.0,952,1
COS,37,3,0.0,125,1
WNG,37,3,0.0,125,1
CNT,37,3,0.0,125,1
WNG+COS,37,3,0.0,125,1
COS,37,6,0.0,176,1
WNG,37,6,0.0,176,1
CNT,37,6,0.0,176,1
WNG+COS,37,6,0.0,176,1
COS,37,9,0.0,275,1
WNG,37,9,0.0,275,1
CNT,37,9,0.0,275,1
WNG+COS,37,9,0.0,275,1
COS,38,3,0.0,789,1
WNG,38,3,0.0,789,1
CNT,38,3,0.0,789,1
WNG+COS,38,3,0.0,789,1
COS,38,6,0.0,842,1
WNG,38,6,0.0,842,1
CNT,38,6,0.0,842,1
WNG+COS,38,6,0.0,842,1
COS,38,9,0.0,923,1
WNG,38,9,0.0,923,1
CNT,38,9,0.0,923,1
WNG+COS,38,9,0.0,923,1
COS,39,3,0.0,680,1
WNG,39,3,0.0,680,1
CNT,39,3,0.0,680,1
WNG+COS,39,3,0.0,680,1
COS,39,6,0.0,917,1
WNG,39,6,0.0,917,1
CNT,39,6,0.0,917,1
WNG+COS,39,6,0.0,917,1
COS,39,9,0.0,906,1
WNG,39,9,0.0,906,1
CNT,39,9,0.0,906,1
WNG+COS,39,9,0.0,906,1
